,Species,Gene,GeneName,Ala,Arg,Asn,Asp,Cys,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Trp,Tyr,Val
68,[Microtermes sp. B TB-2017],COX1,cytochrome c oxidase subunit 1 ,39,10,19,14,2,8,10,45,16,37,56,9,34,43,27,41,38,15,15,36
69,[Macrotermes sp. B TB-2017],COX1,cytochrome c oxidase subunit 1 ,39,10,19,14,2,8,10,45,16,38,56,9,33,44,27,40,39,15,15,35
70,[Macrotermes falciger],COX1,cytochrome c oxidase subunit I ,39,10,19,14,2,8,10,45,16,38,56,9,34,44,27,40,39,15,15,35
71,[Pseudacanthotermes spiniger],COX1,cytochrome c oxidase subunit I ,39,10,19,14,2,8,10,45,16,36,59,9,32,43,27,41,39,15,15,35
72,[Macrotermes barneyi],COX1,cytochrome c oxidase subunit I ,39,10,19,14,2,8,10,45,16,38,57,9,33,43,27,40,39,15,15,35
73,[Macrotermes vitrialatus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,8,10,45,16,38,55,9,34,44,27,41,39,15,15,36
74,[Macrotermes carbonarius],COX1,cytochrome c oxidase subunit I ,39,10,19,14,2,8,10,45,16,39,56,9,33,44,27,40,38,15,15,35
75,[Macrotermes yunnanensis],COX1,cytochrome c oxidase subunit I ,39,10,19,14,2,8,10,45,16,39,57,9,33,43,27,40,39,15,15,34
76,[Nasutitermes matangensis],COX1,cytochrome c oxidase subunit 1 ,37,10,18,14,2,7,10,45,16,38,57,9,32,44,28,41,39,15,15,37
77,[Ophiotermes grandilabius],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,45,16,39,58,9,32,44,27,41,39,15,15,36
78,[Cornitermes cumulans],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,45,16,40,58,9,32,44,27,40,40,15,15,35
79,[Cylindrotermes parvignathus],COX1,cytochrome c oxidase subunit I ,36,10,18,14,2,7,10,45,16,38,57,9,32,44,27,41,41,15,15,37
80,[Ephelotermes taylori],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,44,16,41,57,9,32,44,27,41,40,15,15,34
81,[Ephelotermes melachoma],COX1,cytochrome c oxidase subunit I ,38,10,17,14,2,7,10,44,16,41,57,9,32,44,27,42,40,15,15,34
82,[Drepanotermes sp. SLC-2012],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,45,16,37,57,9,33,44,27,41,38,15,15,39
83,[Pericapritermes sp. A TB-2017],COX1,cytochrome c oxidase subunit 1 ,37,10,17,14,2,7,10,45,16,39,58,10,32,44,27,39,40,15,15,37
84,[Pericapritermes dolichocephalus],COX1,cytochrome c oxidase subunit I ,38,10,18,14,2,7,10,45,16,39,57,9,33,44,27,39,40,15,15,36
85,[Furculitermes winifredae],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,45,16,37,58,9,32,44,27,41,39,15,15,38
86,[Dicuspiditermes sp. 2 TB-2017],COX1,cytochrome c oxidase subunit 1 ,36,10,18,14,2,7,10,45,16,38,56,9,32,43,27,40,42,15,16,38
87,[Nasutitermes matangensis],COX1,cytochrome c oxidase subunit I ,37,10,18,14,2,7,10,45,16,38,57,9,32,44,28,40,40,15,15,37
88,[Coptotermes acinaciformis raffrayi],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,22,23,6,17,10,12,20,20,6,8,11
89,partial [Blattella bisignata],COX2,cytochrome oxidase subunit II ,15,7,11,11,2,8,11,7,6,31,26,5,13,11,10,17,13,6,8,10
90,partial [Haplosymploce aurantiaca],COX2,cytochrome oxidase subunit II ,15,7,16,10,2,7,9,7,5,27,26,5,13,11,11,14,9,5,8,11
91,[Coptotermes acinaciformis raffrayi],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,23,6,17,10,12,20,20,6,8,12
92,partial [Blattella germanica],COX2,cytochrome oxidase subunit II ,15,7,11,12,2,8,10,7,6,30,27,5,12,11,10,17,13,6,8,10
93,[Blattella germanica],COX2,COX2 gene product ,15,7,11,12,2,8,10,7,6,30,27,5,13,11,10,17,13,6,8,10
94,partial [Blattella germanica],COX2,cytochrome oxidase subunit II ,15,7,11,12,2,8,10,7,6,30,27,5,13,11,10,17,13,6,9,10
95,[Coptotermes acinaciformis raffrayi],COX2,cytochrome c oxidase subunit 2 ,9,8,8,9,2,10,12,8,6,21,23,6,17,10,12,20,21,6,8,12
96,partial [Blattella germanica],COX2,cytochrome oxidase subunit II ,15,7,11,12,2,8,9,7,6,30,27,5,13,11,10,17,13,6,8,10
97,partial [Blattella germanica],COX2,cytochrome oxidase subunit II ,15,7,11,12,2,8,9,7,6,29,27,5,13,11,10,14,13,6,8,10
98,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,6,21,23,6,15,10,12,19,20,6,8,12
99,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,11,2,10,12,8,6,21,23,6,17,10,12,22,20,7,8,12
100,partial [Lobopterella dimidiatipes],COX2,cytochrome oxidase subunit II ,12,7,16,9,2,7,9,7,5,29,28,6,12,12,12,14,9,5,7,10
101,partial [Lobopterella dimidiatipes],COX2,cytochrome oxidase subunit 2 ,12,7,19,9,2,7,10,7,5,31,28,6,13,12,12,15,11,6,7,10
102,[Blattella bisignata],COX2,cytochrome c oxidase subunit II ,15,7,11,11,2,8,11,7,6,30,26,5,14,11,10,17,12,6,8,11
103,partial [Perisphaeria cf. substylifera SR-2005],COX2,cytochrome oxidase subunit II ,9,7,14,9,2,7,10,8,6,32,20,4,18,12,11,13,19,6,8,8
104,partial [Blattella nipponica],COX2,cytochrome oxidase subunit II ,15,7,12,10,2,8,11,7,6,31,26,5,13,11,10,17,13,6,8,10
105,[Coptotermes remotus],COX2,cytochrome c oxidase subunit II ,11,8,8,9,2,10,12,8,6,20,24,6,16,10,12,19,20,6,8,13
106,[Coptotermes kalshoveni],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,24,6,16,10,12,19,21,6,8,12
107,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,20,22,6,17,10,12,21,20,6,8,13
108,[Paratropes sp. 1 DJGI-2006],COX2,cytochrome oxidase subunit II ,11,7,17,10,2,8,10,7,5,31,20,8,15,13,10,15,14,6,8,11
109,[Coptotermes sepangensis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,20,24,6,16,10,12,19,21,6,8,13
110,[Coptotermes travians],COX2,cytochrome c oxidase subunit II ,11,8,8,9,2,10,12,8,6,20,25,6,14,10,12,19,21,6,8,13
111,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,22,22,6,17,10,12,21,20,6,8,11
112,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,22,22,6,17,10,12,21,20,6,8,11
113,[Coptotermes sepangensis],COX2,cytochrome c oxidase subunit II ,10,8,8,9,2,10,12,8,6,19,24,6,16,10,12,19,21,6,8,14
114,partial [Coptotermes kalshoveni],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,12,8,6,21,24,6,15,10,12,19,19,6,8,12
115,partial [Blattella asahinai],COX2,cytochrome c oxidase subunit II ,15,7,10,11,2,8,9,7,6,26,27,4,13,10,10,14,13,5,8,10
116,partial [Perisphaeria cf. scabrella SR-2005],COX2,cytochrome oxidase subunit II ,10,7,13,9,2,7,9,8,6,33,22,6,16,13,11,14,15,6,8,8
117,[Coptotermes michaelseni],COX2,cytochrome c oxidase subunit II ,10,8,8,9,2,10,12,8,5,20,23,6,17,11,12,20,21,6,8,12
118,[Coptotermes acinaciformis raffrayi],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,22,6,17,10,12,21,20,6,8,12
119,[Coptotermes kalshoveni],COX2,cytochrome c oxidase subunit II ,10,8,8,9,2,10,12,8,7,21,24,6,16,10,12,19,21,6,7,12
120,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,22,6,17,10,12,20,21,6,8,12
121,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,23,6,16,10,12,21,20,6,8,12
122,[Stylotermes sp. CN14],COX2,cytochrome c oxidase subunit 2 ,11,7,8,8,2,8,15,9,6,22,25,6,13,10,12,17,22,6,10,11
123,partial [Temnopteryx sp. 1 DJGI-2006],COX2,cytochrome oxidase subunit II ,14,7,18,12,2,8,10,7,5,28,24,7,16,12,10,17,14,7,8,12
124,partial [Coptotermes sp.],COX2,cytochrome oxidase subunit II ,11,8,8,9,2,10,11,8,6,21,22,6,17,10,12,21,20,6,8,13
125,partial [Blattella lituricollis],COX2,cytochrome oxidase subunit 2 ,15,7,12,11,2,7,10,7,7,31,27,5,13,11,10,17,13,6,8,9
126,partial [Episymploce kunmingi],COX2,cytochrome oxidase subunit II ,16,7,17,10,2,7,10,7,5,29,27,6,13,11,10,17,10,6,8,10
127,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,6,21,22,6,16,10,12,20,20,6,8,12
128,partial [Lobopterella dimidiatipes],COX2,cytochrome oxidase subunit II ,11,7,16,9,2,7,9,7,5,30,28,6,12,12,12,15,9,5,7,10
129,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,22,6,16,10,12,20,20,6,8,12
130,partial [Coptotermes travians],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,11,11,9,6,20,23,5,13,11,12,17,20,4,8,12
131,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,6,21,22,5,16,10,12,19,20,6,8,11
132,partial [Coptotermes sp. AP01],COX2,cytochrome oxidase subunit II ,10,8,8,11,2,10,12,8,6,21,22,6,17,10,12,23,20,7,8,12
133,partial [Perisphaerinae sp. MNHN BL155],COX2,cytochrome oxidase subunit II ,12,7,12,10,2,7,10,7,5,36,23,4,15,11,11,15,13,6,10,8
134,partial [Coptotermes michaelseni],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,5,20,21,6,17,11,13,19,20,6,8,12
135,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,7,10,2,10,12,8,7,21,22,6,17,10,12,21,20,6,7,12
136,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,7,21,22,6,17,10,12,21,20,6,7,12
137,[Neotemnopteryx sp. B],COX2,cytochrome oxidase subunit II ,13,7,16,11,2,7,10,7,5,29,28,7,13,11,11,14,14,6,8,9
138,partial [Episymploce mamillatus],COX2,cytochrome oxidase subunit II ,16,7,18,10,2,7,10,7,5,29,27,6,13,11,10,16,10,6,8,10
139,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,7,21,22,6,16,10,12,20,20,6,7,12
140,partial [Salganea taylori],COX2,cytochrome oxidase II ,9,7,15,10,3,7,10,7,5,33,25,7,14,12,10,16,13,6,9,10
141,partial [Shelfordina volubilis],COX2,cytochrome oxidase subunit II ,8,7,17,10,3,8,8,7,5,31,26,6,13,12,10,14,12,5,8,8
142,partial [Episymploce hunanensis],COX2,cytochrome oxidase subunit II ,16,7,18,10,2,7,10,7,5,28,27,6,13,12,10,16,10,6,8,10
143,partial [Coptotermes lacteus],COX2,cytochrome oxidase subunit II ,12,8,9,9,2,10,11,8,6,21,24,6,14,10,12,17,18,5,8,11
144,[Coptotermes brunneus],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,6,21,22,6,17,10,12,20,21,6,8,12
145,partial [Shelfordina volubilis],COX2,cytochrome oxidase subunit II ,8,7,17,10,3,8,8,7,5,32,26,6,13,12,10,14,12,5,8,8
146,[Neotemnopteryx styliparedra],COX2,cytochrome oxidase subunit II ,13,7,17,10,2,7,11,7,5,28,25,6,13,13,11,15,13,6,8,11
147,[Coptotermes lacteus],COX2,cytochrome c oxidase subunit II ,12,8,9,9,2,10,12,8,6,21,24,6,16,10,12,18,20,6,8,11
148,[Coptotermes acinaciformis acinaciformis],COX2,cytochrome c oxidase subunit 2 ,10,8,8,9,2,10,12,8,7,21,22,6,16,10,12,21,21,6,7,12
149,partial [Coptotermes sp. Ma79Cp],COX2,cytochrome oxidase subunit II ,11,8,9,9,2,10,12,8,6,21,23,5,16,10,12,20,20,6,8,12
150,partial [Coptotermes lacteus],COX2,cytochrome oxidase subunit II ,12,8,9,9,2,10,11,8,6,21,23,6,16,10,12,17,20,6,8,11
151,partial [Coptotermes acinaciformis],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,8,6,20,22,6,17,10,12,20,20,6,8,12
152,partial [Geoscapheus robustus],COX2,cytochrome oxidase subunit II ,12,7,17,10,2,7,10,7,5,31,22,7,16,12,10,17,13,6,9,8
153,partial [Coptotermes lacteus],COX2,cytochrome oxidase subunit II ,11,8,9,9,2,10,11,8,6,21,24,5,15,10,12,16,20,6,8,11
154,partial [Coptotermes lacteus],COX2,cytochrome oxidase subunit II ,12,8,9,9,2,10,11,8,6,21,23,5,16,10,12,16,20,6,8,11
155,partial [Anaplectoidea spinea],COX2,cytochrome oxidase subunit II ,13,7,18,9,3,7,9,7,5,29,22,5,16,13,12,17,15,6,8,6
156,partial [Panesthiinae sp. FL-2014],COX2,cytochrome oxidase subunit II ,12,7,18,9,2,7,9,7,5,31,21,6,15,14,10,17,16,6,8,7
157,partial [Panesthia birmanica],COX2,cytochrome oxidase subunit II ,12,7,18,11,2,7,9,7,5,31,21,6,16,14,10,20,16,7,8,7
158,partial [Coptotermes formosanus],COX2,cytochrome oxidase subunit II ,10,8,8,9,2,10,11,7,6,21,23,5,14,10,12,19,21,6,8,12
159,[Neotemnopteryx sp. A],COX2,cytochrome oxidase subunit II ,13,7,16,11,2,7,10,7,5,28,28,7,13,12,11,13,15,6,8,9
160,[Symploce pallens],COX2,cytochrome oxidase subunit II ,12,7,16,12,2,7,9,7,5,30,27,5,13,11,10,18,13,6,8,10
161,partial [Pronauphoeta cf. viridula MNHN BL126],COX2,cytochrome oxidase subunit II ,13,7,18,10,2,7,9,7,5,29,23,3,13,12,10,16,15,6,8,11
162,[Macrotermes vitrialatus],COX2,cytochrome c oxidase subunit II ,11,7,10,11,2,11,9,8,6,21,21,6,15,10,11,19,20,6,7,15
163,[Coptotermes sp. ISO777],COX2,cytochrome c oxidase subunit 2 ,11,8,9,9,2,10,12,8,6,20,23,6,17,10,12,19,20,6,8,12
164,[Coptotermes formosanus],COX2,COX2 gene product ,10,8,8,9,2,10,12,8,6,21,24,6,14,10,12,20,21,6,8,13
165,[Stylotermes sp. TW5238],COX2,cytochrome c oxidase subunit 2 ,11,7,8,8,2,8,15,9,6,23,25,6,12,10,12,17,21,6,10,12
166,partial [Salganea rossi],COX2,cytochrome oxidase II ,13,7,16,10,2,6,10,7,6,32,25,6,14,12,10,17,10,6,9,10
167,[Coptotermes formosanus],COX2,cytochrome oxidase subunit II ,10,8,8,11,2,11,12,8,6,21,25,7,14,10,12,23,21,7,8,15
168,partial [Stylotermes halumicus],COX2,cytochrome c oxidase subunit 2 ,11,7,8,8,2,8,15,9,6,23,25,6,12,10,12,18,21,6,10,12
169,[Schedorhinotermes putorius],COX3,cytochrome c oxidase subunit 3 ,17,4,9,3,1,8,8,19,14,24,27,4,8,21,11,18,28,13,11,14
170,[Schedorhinotermes lamanianus],COX3,cytochrome c oxidase subunit 3 ,17,4,9,3,1,8,8,19,14,24,26,4,9,21,11,19,27,13,11,14
171,[Rugitermes sp. A TB-2014],COX3,cytochrome c oxidase subunit 3 ,13,4,8,3,1,10,10,21,14,23,29,4,9,23,9,21,21,13,11,15
172,[Serritermes serrifer],COX3,cytochrome c oxidase subunit 3 ,18,4,6,4,1,8,8,18,14,16,30,4,15,23,9,23,27,13,9,12
173,[Heterogamodes hebraica],COX3,cytochrome c oxidase subunit 3 ,13,4,10,3,1,7,7,18,15,24,33,4,16,21,9,18,22,13,9,11
174,[Amitermes sp. 3 TB-2017],COX3,cytochrome c oxidase subunit 3 ,18,4,7,5,1,9,8,21,14,16,31,4,8,24,10,16,27,13,9,17
175,[Odontotermes mathuri],COX3,cytochrome c oxidase subunit III ,17,4,9,4,1,9,8,20,14,20,27,4,13,23,9,18,27,13,9,13
176,[Polyphaga plancyi],COX3,cytochrome c oxidase subunit III ,14,4,10,5,1,7,7,17,15,26,30,4,16,23,10,17,23,13,10,10
177,[Parrhinotermes microdentiformis],COX3,cytochrome c oxidase subunit 3 ,16,4,8,4,1,8,8,20,15,21,28,4,11,22,11,18,24,13,10,16
