Species	Sociality	Subs	Value
B017_Byrsotria_rothi_1	0	A_T_norm	0.0952965042222956
B020_Diploptera_punctata_1	0	A_T_norm	0.690777338603425
B021_Elliptorhina_chopardi_1	0	A_T_norm	0.43285286142429
B023_Elliptorhina_javanica_1	0	A_T_norm	0.250807507638586
B029_Gromphadorhina_grandidieri_1	0	A_T_norm	0.358498896247241
B031_Gromphadorhina_oblongonota_1	0	A_T_norm	0.385240054869684
B034_Gyna_caffrorum_1	0	A_T_norm	0.649548036157107
B035_Gyna_capucina_1	0	A_T_norm	0.639950295122709
B041_Nauphoeta_cinerea_1	0	A_T_norm	0.722984018950389
B044_Panchlora_nivea_1	0	A_T_norm	0.741263801050488
B046_Phoetalia_pallida_1	0	A_T_norm	0.975733706009402
B048_Pycnoscelus_femapterus_1	0	A_T_norm	0.541730138946591
B050_Pycnoscelus_nigra_1	0	A_T_norm	0.404544034281123
B052_Pycnoscelus_surinamensis_1	0	A_T_norm	0.152873280943026
B053_Rhyparobia_maderae_1	0	A_T_norm	0.223132969034608
B054_Rhyparobia_sp._1	0	A_T_norm	0.263099668108217
B055_Schultesia_lampyridiformis_1	0	A_T_norm	0.807692307692308
B056_Blaptica_dubia_1	0	A_T_norm	0.629004992207929
B058_Asiablatta_kyotensis_1	0	A_T_norm	0.616040294459512
B061_Paratemnopteryx_couloniana_1	0	A_T_norm	0.777357780095006
B062_Parcoblatta_divisa_1	0	A_T_norm	0.125197680548234
B063_Parcoblatta_lata_1	0	A_T_norm	0.218710320173468
B064_Parcoblatta_pennsylvanica_1	0	A_T_norm	0.300387596899225
B066_Symploce_macroptera_1	0	A_T_norm	0.920678185346022
B067_Symploce_pallens_1	0	A_T_norm	0.689547934257619
B068_Blatta_orientalis_1	0	A_T_norm	0.535509446693657
B069_Deropeltis_paulinoi_1	0	A_T_norm	0.860341116078821
B071_Eurycotis_decipiens_1	0	A_T_norm	0.860610590919821
B072_Eurycotis_floridana_1	0	A_T_norm	0.153694742885262
B073_Eurycotis_opaca_Sunset_1	0	A_T_norm	0.274317912218268
B074_Eurycotis_sp._1	0	A_T_norm	0.816078365141023
B075_Neostylopyga_rhombifolia_1	0	A_T_norm	0.599226804123711
B077_Periplaneta_australasiae_1	0	A_T_norm	0.401348039215686
B078_Periplaneta_brunnea_1	0	A_T_norm	0.505310559006211
B080_Shelfordella_lateralis_1	0	A_T_norm	0.513074384361513
B082_Ischnoptera_bilunata_1	0	A_T_norm	0.813293849008135
B083_Ischnoptera_deropeltiformis_1	0	A_T_norm	0.420819490586932
B084_Ischnoptera_sp._1	0	A_T_norm	0.370400432900433
B086_Ergaula_capucina_1	0	A_T_norm	0.789298050465429
B088_Polyphaga_aegyptiaca_1	0	A_T_norm	0.514011151549922
B089_Therea_olegrandjeani_1	0	A_T_norm	0.400965714963193
B090_Therea_petiveriana_1	0	A_T_norm	0.198279816513761
B091_Therea_regularis_1	0	A_T_norm	0.155335258762001
B094_Heterogamodes_hebraica_1	0	A_T_norm	0.576979731871492
B096_Lobopterella_dimidiatipes_1	0	A_T_norm	0.75938309106848
B097_Arenivaga_cf._1	0	A_T_norm	1.23955870764381
B099_Parcoblatta_fulvescens_1	0	A_T_norm	0.786441246449422
B100_Parcoblatta_uhleriana_1	0	A_T_norm	0.276871178578958
B101_Parcoblatta_bolliana_1	0	A_T_norm	0.388993072830954
B103_Pycnoscelus_sp._1	0	A_T_norm	0
B107_Neolaxta_mackerrasae_1	0	A_T_norm	0.701834339751624
B115_Macropanesthia_rhinoceros_1	0	A_T_norm	0.66287196865403
B122_Platyzosteria_nitida_1	0	A_T_norm	0.861312660358099
B124_Tryonicus_mackerrasae_1	0	A_T_norm	0.780440223792697
BA2929_NODE_6_length_15590_cov_330713_ID_1249685_1	1	A_T_norm	0.350372787528069
BA3121_NODE_84_length_15754_cov_340293_ID_1927933_1	1	A_T_norm	0.229763458713141
Balta_sp._1	0	A_T_norm	1.00768750615986
BB_Ectobiidae_1	0	A_T_norm	0.988934993084371
BBI_Blattella_bisignata_1	0	A_T_norm	0.270379454624152
BDIT020_Microtermes_sp_Burundi_1	2	A_T_norm	0.083574069210723
BDIT022_Microcerotermes_parvus_1	2	A_T_norm	0.216626357471428
BDIT023_Pseudacanthotermes_spiniger_Burundi_1	2	A_T_norm	0.0947058823529412
BDIT026_Promirotermes_pygmaeus_1	2	A_T_norm	0.131547557840617
BDIT034_Termes_hospes_1	2	A_T_norm	0.134177789350782
BDIT037_Furculitermes_soyeri_1	2	A_T_norm	0.145304489183444
BDIT041_Nasutitermes_arborum_1	2	A_T_norm	0.114342431761787
BDIT049_Aderitotermes_sp.2_1	2	A_T_norm	0.180362325025606
BDIT051_Microtermes_sp_Burundi_1	2	A_T_norm	0.113114807109827
BDIT061_Alyscotermes_kilimandjaricus_1	2	A_T_norm	0.209284770711455
BDIT062_Acholotermes_chirotus_1	2	A_T_norm	0.192733494363929
BDIT064_Macrotermes_sp.A_1	2	A_T_norm	0.0591885931168898
BDIT069_Cubitermes_nr_fulvus_1	2	A_T_norm	0.365631797508404
BDIT073_Promirotermes_sp.A_1	2	A_T_norm	0.131188067605867
BDIT074_Aderitotermes_fossor_1	2	A_T_norm	0.256319962686567
BDIT075_Cubitermes_fulvus_1	2	A_T_norm	0.165926001168135
BDIT076_Apicotermitinae_gen.A_1	2	A_T_norm	0.235384268649989
BDIT078_Cubitermes_ugandensis_1	2	A_T_norm	0.347344091084193
BDIT087_Odontotermes_sp._1	2	A_T_norm	0.139166904966161
BDIT089_Microcerotermes_progrediens_1	2	A_T_norm	0.0904204317633727
BDIT101_Anenteotermes_polyscolus_1	2	A_T_norm	0.346541327581135
BDIT102_Microcerotermes_fuscotibialis_1	2	A_T_norm	0.0861258083480306
BDIT106_Cubitermes_oblectatus_1	2	A_T_norm	0.0569893306466197
BDIT108_Foraminitermes_rhinoceros_1	2	A_T_norm	0.222017054992278
BDIT109_Aderitotermes_sp_1	2	A_T_norm	0.263174198250729
BDIT112_Astalotermes_murcus_1	2	A_T_norm	0.280234926566305
BDIT114_Trinevitermes_sp.A_1	2	A_T_norm	0.128361858190709
BDIT120_Astalotermes_sp._1	2	A_T_norm	0.343719455705993
BDIT121_Alyscotermes_sp.B_1	2	A_T_norm	0.163065793332682
BDIT129_Macrotermes_vitrialatus_Burundi_1	2	A_T_norm	0.116585067319461
BDIT27_Coptotermes_sjosdteti_Burundi_1	2	A_T_norm	0.120677698975571
BDIT8-M2A_Coptotermes_amanii_1	2	A_T_norm	0.103983265057091
BDIT8-M2B_Microtermes_sp_Burundi_1	2	A_T_norm	0.168626772742995
Beybienkoa_karandanensis_1	0	A_T_norm	0.531376518218623
Bifid_1	1	A_T_norm	0.501278772378517
BLA48_Laxta_sp._1	0	A_T_norm	0.435271128480703
Blatella_germanica_1	0	A_T_norm	0.522033898305085
BRA12_Aparatermes_sp.A_1	2	A_T_norm	0.30553388464139
BRA13_Spinitermes_sp.A_1	2	A_T_norm	0.0421110100090992
BRA15_Glyptotermes_1	1	A_T_norm	0.489142753524638
BRA1_Constrictotermes_cyphergaster_1	2	A_T_norm	0.221054718477399
BRA28_Anoplotermes-group_sp.I_1	2	A_T_norm	0.249357326478149
BRA29_Labiotermes_sp._1	2	A_T_norm	0.23600091422601
BRA2_Inquilinitermes_sp._1	2	A_T_norm	0.123859191655802
BRA31_Serritermes_serrifer_1	1	A_T_norm	0.302397341561832
BRA3_Cornitermes_cumulans_1	2	A_T_norm	0.304654597166767
BRA7_Patawatermes_sp.A_1	2	A_T_norm	0.420716896592383
BRA8_Labiotermes_sp._1	2	A_T_norm	0.378046956781815
BRU3_Amitermes_dentatus_1	2	A_T_norm	0.140321967296235
BRU6_Nasutitermes_matangensis_1	2	A_T_norm	0.133901676612674
BRU8_Hospitalitermes_hospitalis_1	2	A_T_norm	0.0714285714285714
BUidUT_Blattella_lituricollis_1	0	A_T_norm	0.531988234212703
BV_Blattella_vaga_1	0	A_T_norm	0.709180358303165
CA10_Synacanthotermes_sp._1	2	A_T_norm	0.178117048346056
CA11_Duplidentitermes_sp._1	2	A_T_norm	0.38017715547255
CA12_Astalotermes_Cameroon_1	2	A_T_norm	0.154835229060828
CA13_Ophiotermes_sp._1	2	A_T_norm	0.0743511059966756
CA15_Apicotermitinae_gen.B_Cameroon_1	2	A_T_norm	0.264932907764461
CA18_Amalotermes_phaeocephalus_Cameroon_1	2	A_T_norm	0.313144422813469
CA1_Cubitermes_fungifaber_1	2	A_T_norm	0.17589628681178
CA20_Leptomyxotermes_doriae_1	2	A_T_norm	0.363130311046978
CA25_Pericapritermes_nigerianus_1	2	A_T_norm	0.245666103001231
CA26_Sphaerotermes_sphaerothorax_1	2	A_T_norm	0.192822802197802
CA27_Acanthotermes_acanthotorax_Cameroon_1	2	A_T_norm	0.201655327207687
CA35_Basidentitermes_aurivillii_Cameroon_1	2	A_T_norm	0.266945533769063
CA37_Sphaerotermes_sp.A_1	2	A_T_norm	0.158239613346965
CA38_Aderitotermes_sp_Cameroon_1	2	A_T_norm	0.192846534653465
CA8_Postsubulitermes_parviconstrictus_1	2	A_T_norm	0.3411399281935
CA9_Jugositermes_tuberculatus_1	2	A_T_norm	0.218695522768825
CAM16-31_NODE_1_length_16055_cov_206745_ID_2275_1	1	A_T_norm	0.529933174590982
Carbrunneria_paramaxi_1	0	A_T_norm	0.924185128170805
CHI15-157_NODE_1_length_15696_cov_532996_ID_1259_1	1	A_T_norm	0.268368769606135
CHI15-24_1	1	A_T_norm	0.286259025740267
CHI15-75_1	1	A_T_norm	0.341253799278324
CHI15-85_NODE_1_length_15781_cov_415385_ID_1981_1	1	A_T_norm	0.182731841023298
COL17-26_NODE_1_length_15512_cov_173959_ID_51_1	1	A_T_norm	0.519001947419669
COL2012L04_Patawatermes_turricola_1	2	A_T_norm	0.215732919918743
COL2012L05_Cavitermes_tuberosus_1	2	A_T_norm	0.217209250734846
COL-2012L08_Nasutitermes_sp._1	2	A_T_norm	0.305820514802504
COL2012T03_Humutermes_krishnai_1	2	A_T_norm	0.201542250393637
COL2012-T09_Microcerotermes_sp._1	2	A_T_norm	0.0778228141285466
COL-4PUERTO_Heterotermes_nr_tenuis_1	2	A_T_norm	0.0622839182818229
COL-SAS_Nasutitermes_sp._1	2	A_T_norm	0.118946901941826
COPACI_Coptotermes_acinaciformis_Australia_1	2	A_T_norm	0.0625300625300625
COPFRE_Coptotermes_frenchi_Australia_1	2	A_T_norm	0.0602361013015841
COP-LAC_Coptotermes_lacteus_Australia_1	2	A_T_norm	0.0451983191554781
Coptotermes_formosanus_Miyako_1	2	A_T_norm	0.438376943496397
CR_Cryptocercus_relictus_1	0	A_T_norm	0.359617682198327
CRYAUS_Cryptotermes_austrinus_Australia_1	1	A_T_norm	0.0681359044995409
CRYBREVIS_Cryptotermes_brevis_Australia_1	1	A_T_norm	0.397865292602135
CRYDOMESTI_Cryptotermes_domesticus_1	1	A_T_norm	0.237387970650215
CRYDRUDDLE_Cryptotermes_dudleyi_Australia_1	1	A_T_norm	0.209923317567623
Cryptocercus_hirtus_1	0	A_T_norm	0.417896389324961
Cryptocercus_meridianus_1	0	A_T_norm	0.563448694596235
Cryptocercus_punctulatus_sp_CR18_1	0	A_T_norm	0.661582922712315
Cryptotermes_secundus_1	1	A_T_norm	0.202479526842584
CRYQUEEN_Cryptotermes_queenslandicus_Australia_1	1	A_T_norm	0.134462869502523
CU_1490_0_NODE_2_length_15846_cov_660191_ID_1569873_1	1	A_T_norm	0.385447048174595
Dentispicotermes_brevicarinatus_1	2	A_T_norm	0.369936590824319
Dolichorhinotermes_longilabius_1	2	A_T_norm	0.420822942643392
Drepanotermes_ISO312_1	2	A_T_norm	0.111295608477168
E16_Microtermes_sp_Pakistan_1	2	A_T_norm	0.181362631157954
E17-RS-34-2-TR_NODE_1_length_15518_cov_51521_ID_229_1	1	A_T_norm	0.515389592383769
E31_Microtermes_obesi_Pakistan_1	2	A_T_norm	0.186712700369914
E42_Microcerotermes_sp.3_1	2	A_T_norm	0.13176591801836
E48_Coptotermes_heimi_Pakistan_1	2	A_T_norm	0
E50_Microtermes_sp1_Pakistan_1	2	A_T_norm	0.104855767067189
E58_Kalotermitidae_spA_Pakistan_1	1	A_T_norm	0.417240249098656
E6_Amitermes_sp.A_1	2	A_T_norm	0.250759375657875
EC1466_0_NODE_3_length_15795_cov_299853_ID_608187_1	1	A_T_norm	0.319104855981468
Ectobius_sp_Z254C_1	0	A_T_norm	0.292423680632802
Elliptorhina_davidi_22_1	0	A_T_norm	0.373451849355464
Embiratermes_neotenicus_French_Guiana_1	2	A_T_norm	0.207981092627943
ES_Eupolyphaga_sinensis_1	0	A_T_norm	0
Eublaberus_distanti_25_1	0	A_T_norm	1.02379953575524
FG16-11_1	1	A_T_norm	0.27575932446915
FG17-7_NODE_1_length_15536_cov_109291_ID_76_1	1	A_T_norm	0.38028593974841
FG-ND2-12_1	1	A_T_norm	0.449602953468933
FG-ND2-19_Anhangatermes_macarthuri_1	2	A_T_norm	0.271543024891444
FG-ND2-26_Ruptitermes_nr.xanthochiton_1	2	A_T_norm	0.247204795761885
FG-N-D2-2_Neotermes_spA_FG_1	1	A_T_norm	0.290426348560358
FG-ND2-30_Nasutitermes_sp._1	2	A_T_norm	0.107579462102689
FG-ND2-32_Nasutitermes_sp.SC_1	2	A_T_norm	0.160922195527629
FG-ND2-33_Anoplotermes-group_sp.SB_1	2	A_T_norm	0.247460626891705
FG-ND2-38_Microcerotermes_sp.SA_1	2	A_T_norm	0.106660499537465
FG-ND2-3_Comatermes_sp._1	1	A_T_norm	0.384527465263912
FG-ND2-43_Tetimatermes_sp.A_1	2	A_T_norm	0.183245202700456
FG-ND2-48_Ruptitermes_arboreus_1	2	A_T_norm	0.235576128285667
FLY667_0_NODE_1_length_15810_cov_38592_ID_136216_1	1	A_T_norm	0.206894142633579
G13-017_Anoplotermes-group_sp.N_1	2	A_T_norm	0.162637945670628
G13-023_Embiratermes_brevinasus_1	2	A_T_norm	0.208706416340004
G13-026_Heterotermes_crinitus_FG_1	2	A_T_norm	0.0982973494821836
G13-028_Planicapritermes_planiceps_1	2	A_T_norm	0.195529783241155
G13-034_Anoplotermes_parvus_1	2	A_T_norm	0.217259155118163
G13-036_Termes_fatalis_1	2	A_T_norm	0.0906130876747141
G13-065_Anoplotermes-group_sp.Q_1	2	A_T_norm	0.253739952667698
G13-067_Crepititermes_verruculosus_1	2	A_T_norm	0.276040895900759
G13-069_Anoplotermes-group_sp.AF_1	2	A_T_norm	0.344094515834562
G13-072_Rubeotermes_jheringi_1	2	A_T_norm	0.528267752148349
G13-080_Neocapritermes_taracua_1	2	A_T_norm	0.168727272727273
G13-081_Aparatermes_nr.cingulatus_1	2	A_T_norm	0.379439252336449
G13-084_Termes_sp.A_1	2	A_T_norm	0.222310598528534
G13-101_Silvestritermes_heyeri_1	2	A_T_norm	0
G13-107_Coptotermes_testaceus_FG_1	2	A_T_norm	0.13679354094579
G13-10_Longustitermes_manni_1	2	A_T_norm	0.316066725197542
G13-114_Compositermes_vindai_1	2	A_T_norm	0.305108145421077
G13-116_Anoplotermes_sp.E1_1	2	A_T_norm	0.126661012157195
G13-117_Nasutitermes_banksi_1	2	A_T_norm	0.23010752688172
G13-120_Patawatermes_nigripunctatus_1	2	A_T_norm	0.26135741652983
G13-122_Anoplotermes_janus_1	2	A_T_norm	0.228316195372751
G13-127_Nasutitermes_similis_1	2	A_T_norm	0.187124472663741
G13-130_Coatitermes_sp.2_1	2	A_T_norm	0.191687194254588
G13-140_Spinitermes_trispinosus_1	2	A_T_norm	0.141669233138281
G13-142_Anoplotermes_sp.E1_1	2	A_T_norm	0.192869269949066
G678_Rugitermes_sp_A_1	1	A_T_norm	0.469966909550019
G679_Caetetermes_taquarussu_1	2	A_T_norm	0.349828070922145
G680_Anoplotermes_sp.E1_1	2	A_T_norm	0.0891142490372272
G681_Neocapritermes_araguaia_1	2	A_T_norm	0.171348314606742
G683_Neocapritermes_sp.H_1	2	A_T_norm	0.305083761577098
G685_Atlantitermes_oculatissimus_1	2	A_T_norm	0.252967796943661
G686_Cyrilliotermes_angulariceps_1	2	A_T_norm	0.234406813230343
G687_Cylindrotermes_parvignathus_1	2	A_T_norm	0.263972431077694
G689_Microcerotermes_sp._1	2	A_T_norm	0.190385888868822
G693_Cornitermes_pugnax_1	2	A_T_norm	0.278628495339547
G697_Orthognathotermes_aduncus_1	2	A_T_norm	0.268066549399003
G699_Inquilinitermes_inquilinus_1	2	A_T_norm	0.257029177718833
G700_Constrictotermes_cavifrons_1	2	A_T_norm	0.249547819795754
G702_Glossotermes_oculatus_1	1	A_T_norm	0.212936895528105
G707_Neocapritermes_angusticeps_1	2	A_T_norm	0.237804612232443
G711_Labiotermes_labralis_1	2	A_T_norm	0.396833340916329
G712_Subulitermes_sp._1	2	A_T_norm	0.282582855831264
G715_Syntermes_spinosus_1	2	A_T_norm	0.272957274703346
G718_Nasutitermes_octopilis_1	2	A_T_norm	0.153906211877226
G721_Anoplotermes-group_sp.AD_1	2	A_T_norm	0.215439042089985
G728_Agnathotermes_crassinasus_1	2	A_T_norm	0.236889034465189
G729_Araujotermes_parvellus_1	2	A_T_norm	0.247493593490087
G733_Nasutitermes_macrocephalus_1	2	A_T_norm	0.0768473552959706
G736_Atlantitermes_snyderi_1	2	A_T_norm	0.255069708491762
G740_Coatitermes_kartaboensis_1	2	A_T_norm	0.293900530287103
G751_Rhinotermes_hispidus_FG_1	2	A_T_norm	0.286596015511678
G769_Dihoplotermes_sp.A_1	2	A_T_norm	0.186767423609529
Glypto1_Glyptotermes_fuscus_Japan_1	1	A_T_norm	0.343343558282209
Glyptotermes_satsumensis_1	1	A_T_norm	0.273893850734011
GP17-13_1	1	A_T_norm	0.354016728262984
GR2200_NODE_14_length_15769_cov_491341_ID_624588_1	1	A_T_norm	0.274705331098293
Heterotermes_ISO183_1	2	A_T_norm	0.0711425406833092
Hodotermopsis_sjosdteti_1	1	A_T_norm	0.675165303856249
I9_Mastotermes_darwiniensis_1	2	A_T_norm	0.657749586321015
Incisitermes_arizonensis_1	1	A_T_norm	0
Incisitermes_minor_1	1	A_T_norm	0.0798672486562534
IND1_Microtermes_sp.C_India_1	2	A_T_norm	0.0732915360501567
IND2_Trinervitermes_sp._1	2	A_T_norm	0.0942065491183879
IND3_Heterotermes_malabaricus_1	2	A_T_norm	0.141080223724852
IND5_Nasutitermes_sp.B_1	2	A_T_norm	0.231910333438741
IND6_Odontotermes_sp.C_1	2	A_T_norm	0.075142675967026
IND8_Odontotermes_sp.B_1	2	A_T_norm	0.0441426146010187
IS13_Reticulitermes_flavipes_1	2	A_T_norm	0.0732181006020586
IS17_Microhodotermes_viator_1	1	A_T_norm	0.267635478934219
IS57_Reticulitermes_flavipes_1	2	A_T_norm	0.0883728179551122
IS59_Reticulitermes_virginicus_1	2	A_T_norm	0.148138854035968
IS95_Macrotermes_subhyalinus_1	2	A_T_norm	0.100547812218293
ISO207_Porotermes_adamsoni_1	1	A_T_norm	0.435261654330606
ISO262_Neotermes_insularis_1	1	A_T_norm	0.383900546640804
ISO314_Schedorhinotermes_breinli_Australia_1	2	A_T_norm	0.107306774371214
ISO360_Macrognathotermes_errator_1	2	A_T_norm	0.141793379638321
ISO845_Zootermopsis_angusticollis_1	1	A_T_norm	0.385248694072224
JE91_Nocticola_sp._1	0	A_T_norm	0.665072694061214
KE15-10_1	1	A_T_norm	0.353539223197972
KE15-140_1	1	A_T_norm	0.360896291889748
KE15-30_1	1	A_T_norm	0.320988980013691
KF_Kalotermes_flavicollis_1	1	A_T_norm	0.403660477453581
Lamproblatta_sp_1	0	A_T_norm	0.138310024389491
Macrotermes_barneyi_1	2	A_T_norm	0.117787463677875
MAD15-108_NODE_1_length_15757_cov_110743_ID_123_1	1	A_T_norm	0.303448275862069
MAD15-1_1	1	A_T_norm	0.291317801237714
MAD15-128_NODE_1_length_16052_cov_832021_ID_301_1	1	A_T_norm	0.233955223880597
MAD15-171_NODE_1_length_15507_cov_475004_ID_850_1	1	A_T_norm	0.324480573004008
MAD15-2_1	1	A_T_norm	0.248230215827338
MAL10_Neotermes_spA_Malaysia_1	1	A_T_norm	0.230648535564854
MAL21_Microcerotermes_crassus_1	2	A_T_norm	0.152061348889035
MAL27_Hospitalitermes_medioflavus_1	2	A_T_norm	0.142539835828102
MAL29_Parrhinotermes_sp2_Malaysia_1	2	A_T_norm	0.0714017521902378
MAL36_Cryptotermes_sp1_Malaysia_1	1	A_T_norm	0.335702131918727
MAL41_Odontotermes_sp.K_1	2	A_T_norm	0.160680272108844
Methana_sp_AUS1_1	0	A_T_norm	0.735220935220935
MLA11_Coptotermes_sepangensis_1	2	A_T_norm	0.0334288990825688
Nasutitermes_ISO352_1	2	A_T_norm	0.101649518210028
Nasutitermes_nr.perparvus_Thailand_1	2	A_T_norm	0.2163810121211
Nasutitermes_takasagoensis_Japan_1	2	A_T_norm	0.0677800172761301
NEW4_Microcerotermes_baluchistanicus_1	2	A_T_norm	0.167409751186538
NG21_Glyptotermes_spA_NewGuinea_1	1	A_T_norm	0.34668041660445
NG52_Parrhinotermes_browni_1	2	A_T_norm	0.251303274190598
NG55_Pericapritermes_spB_NewGuinea_1	2	A_T_norm	0.338075959128591
NG69_Nasutitermes_bikpelanus_1	2	A_T_norm	0.241226984935594
NG71_Microcerotermes_biroi_1	2	A_T_norm	0.230994152046784
NG77_Termitogeton_planus_1	1	A_T_norm	0.246482556220709
NG79_Coptotermes_elisae_New_Guinea_1	2	A_T_norm	0.117641179410295
NG91_Prorhinotermes_inopinatus_New_Guinea_1	1	A_T_norm	0.0879689521345408
NSW6_Occasitermes_occasus_1	2	A_T_norm	0.198739614138854
NU_mod_1	1	A_T_norm	0.372564438619485
Odontotermes_formosanus_Japan_1	2	A_T_norm	0.23373253493014
PA942_NODE_72_length_15794_cov_8138327_1	1	A_T_norm	0
Panesthia_angustipennis_Z138PA_1	0	A_T_norm	0.512921330500682
Panesthia_sp_Salganea_1	0	A_T_norm	0.524616617329564
Paranauphoeta_circumda_1	0	A_T_norm	0.964602547211243
Periplaneta_americana_1	0	A_T_norm	0.540500049938409
PF_Periplaneta_fuliginosa_1	0	A_T_norm	0.43773790103317
PHI3_Hospitalitermes_sp._1	2	A_T_norm	0.0769581422787118
PHI6_1	1	A_T_norm	0.269469325742335
Phyllodromica_sp._1	0	A_T_norm	0.561818678453478
Polyzosteria_viridissima_1	0	A_T_norm	0.629019087475758
Prorhinotermes_canalifrons_1	1	A_T_norm	0.121268351252524
Prorhinotermes_simplex_Cuba_1	1	A_T_norm	0.222054329371817
Protagonista_lugubris_1	0	A_T_norm	0.615740740740741
RDCT003_Schedorhinotermes_putiorus_Congo_1	2	A_T_norm	0.23962511715089
RDCT008_Trichotermes_ducis_1	2	A_T_norm	0.231051551824735
RDCT011_Macrotermes_muelleri_Congo_1	2	A_T_norm	0.140243768288122
RDCT012_Furculitermes_longilabius_1	2	A_T_norm	0.14967824967825
RDCT014_Pericapritermes_sp.A_1	2	A_T_norm	0.231363004172462
RDCT016_Protermes_prorepens_1	2	A_T_norm	0.187017376290364
RDCT033_Microcerotermes_fuscotibialis_1	2	A_T_norm	0.109145483039817
RDCT040_Acidnotermes_praus_1	2	A_T_norm	0.107284020327499
RDCT046_Astalotermes_quietus_1	2	A_T_norm	0.266002573420245
RDCT047_Furculitermes_cubitalis_1	2	A_T_norm	0.1826426609704
RDCT048_Microtermes_sp._1	2	A_T_norm	0.154776299879081
RDCT051_Orthotermes_depressifrons_1	2	A_T_norm	0.0809269162210339
RDCT052_Astalotermes_sp.B_1	2	A_T_norm	0.297338065661047
RDCT077_Furculitermes_winifredae_1	2	A_T_norm	0.12891364902507
